"time","pump.medium.T","N_pump.y","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","V2.port_b.m_flow","V2.port_b.p","V2.port_b.h_outflow","V2.minLimiter.y","V1_Opening.y","V2_Opening.y"
2.4159999999999999,294.17368145070998,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87963.083189770638,-0.86059664871977548,100000,87963.083189770652,1,0,100000,87963.083189770652,0.001,1,0
2.4180000000000001,294.17675527975257,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87975.944090484845,-0.86059664871977548,100000,87975.944090484845,1,0,100000,87975.944090484845,0.001,1,0
2.4199999999999999,294.17982910879522,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,87988.804991199286,-0.86059664871977548,100000,87988.8049911993,1,0,100000,87988.8049911993,0.001,1,0
2.4220000000000002,294.18290293783787,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88001.665891913726,-0.86059664871977548,100000,88001.665891913712,1,0,100000,88001.665891913712,0.001,1,0
2.4239999999999999,294.18597676688046,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88014.526792627934,-0.86059664871977548,100000,88014.526792627948,1,0,100000,88014.526792627948,0.001,1,0
2.4260000000000002,294.18905059592311,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88027.387693342374,-0.86059664871977548,100000,88027.38769334236,1,0,100000,88027.38769334236,0.001,1,0
2.4279999999999999,294.19212442496575,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88040.248594056815,-0.86059664871977548,100000,88040.248594056815,1,0,100000,88040.248594056815,0.001,1,0
2.4300000000000002,294.1951982540084,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88053.109494771255,-0.86059664871977548,100000,88053.109494771255,1,0,100000,88053.109494771255,0.001,1,0
2.4319999999999999,294.19827208305099,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88065.970395485463,-0.86059664871977548,100000,88065.970395485463,1,0,100000,88065.970395485463,0.001,1,0
2.4340000000000002,294.20134591209364,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88078.831296199904,-0.86059664871977548,100000,88078.831296199904,1,0,100000,88078.831296199904,0.001,1,0
2.4359999999999999,294.20441974113629,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970425,88091.692196914344,-0.86059664871977548,100000,88091.692196914344,1,0,100000,88091.692196914344,0.001,1,0
