"Time","volume.medium.p","volume.medium.h"
0.164024,1074419,84987.617
0.164226,1074538.6,84987.734
0.164428,1074657.6,84987.859
0.16463,1074776.2,84987.977
0.164832,1074894.2,84988.094
0.165034,1075011.6,84988.211
0.165236,1075128.6,84988.328
0.165438,1075245,84988.445
0.16564,1075361,84988.562
0.165842,1075476.4,84988.672
0.166044,1075591.2,84988.789
0.166246,1075705.6,84988.906
0.166448,1075819.5,84989.016
0.16665,1075932.9,84989.133
0.166852,1076045.8,84989.242
0.167054,1076158.1,84989.359
0.167256,1076269.9,84989.469
0.167458,1076381.2,84989.578
0.16766,1076492.1,84989.688
0.167862,1076602.5,84989.805
0.168064,1076712.4,84989.914
0.168266,1076821.8,84990.023
0.168468,1076930.8,84990.133
0.16867,1077039.1,84990.234
0.168872,1077147,84990.344
0.169074,1077254.5,84990.453
0.169276,1077361.5,84990.562
0.169478,1077468,84990.664
0.16968,1077574,84990.773
0.169882,1077679.6,84990.875
0.170084,1077784.6,84990.984
0.170286,1077889.2,84991.086
0.170488,1077993.5,84991.195
0.17069,1078097.1,84991.297
0.170892,1078200.4,84991.398
0.171094,1078303.1,84991.5
0.171296,1078405.5,84991.602
0.171498,1078507.4,84991.703
0.1717,1078608.8,84991.805
0.171902,1078709.8,84991.906
0.172104,1078810.2,84992.008
0.172306,1078910.4,84992.109
0.172508,1079009.9,84992.211
0.17271,1079109.1,84992.305
0.172912,1079207.9,84992.406
0.173114,1079306.1,84992.508
0.173316,1079404,84992.602
0.173518,1079501.5,84992.703
0.17372,1079598.5,84992.797
0.173922,1079695,84992.891
0.174124,1079791.1,84992.992
0.174326,1079886.9,84993.086
0.174528,1079982.1,84993.18
0.17473,1080077,84993.273
0.174932,1080171.4,84993.367
0.175134,1080265.4,84993.461
0.175336,1080359,84993.555
0.175538,1080452.2,84993.648
0.17574,1080545,84993.742
0.175942,1080637.4,84993.836
0.176144,1080729.2,84993.93
0.176346,1080820.9,84994.023
0.176548,1080912,84994.109
0.17675,1081002.6,84994.203
0.176952,1081093,84994.289
0.177154,1081182.9,84994.383
0.177356,1081272.4,84994.469
0.177558,1081361.5,84994.562
