"Time","aimc.idq_rr[2]","mass.s","aimc.idq_sr[1]","mass.v","aimc.is[1]","aimc.idq_rr[1]","aimc.is[2]","vfController.x","aimc.idq_sr[2]"
0.14399999,-210.89694,0.0023155042,105.89837,0.20706038,85.721123,-55.114494,149.51285,3.2572033,213.25342
0.145,-212.34253,0.0025282439,97.941879,0.21843274,75.668236,-47.213589,156.54832,3.3025992,215.66745
0.146,-213.44926,0.0027523935,89.853462,0.22987615,65.386009,-39.218517,163.28032,3.3483095,217.73627
0.147,-214.2195,0.0029880127,81.647621,0.24136828,54.89748,-31.143679,169.68507,3.3943338,219.46082
0.148,-214.65649,0.0032351392,73.338516,0.25288743,44.226692,-23.003036,175.73924,3.4406722,220.84306
0.149,-214.76443,0.0034937896,64.939842,0.26441237,33.398659,-14.810081,181.42006,3.487325,221.88588
0.15000001,-214.54832,0.0037639593,56.464821,0.27592263,22.439289,-6.5777717,186.70535,3.5342917,222.59302
0.15099999,-214.01385,0.0040456234,47.92614,0.28739843,11.375312,1.6814945,191.57362,3.5815728,222.96898
0.152,-213.16731,0.004338738,39.335938,0.29882076,0.23420553,9.9558992,196.0041,3.6291678,223.01894
0.153,-212.01555,0.0046432409,30.705795,0.3101714,-10.955867,18.234217,199.97682,3.6770771,222.74861
0.154,-210.56587,0.0049590515,22.046715,0.32143301,-22.166136,26.505829,203.47267,3.7253006,222.16428
0.155,-208.82593,0.0052860719,13.369105,0.33258918,-33.367294,34.760723,206.47345,3.7738383,221.27254
0.156,-206.80363,0.0056241895,4.6827993,0.34362432,-44.529579,42.989491,208.96191,3.82269,220.08038
0.15700001,-204.50711,0.0059732753,-4.0029368,0.35452387,-55.622822,51.183308,210.92184,3.871856,218.59502
0.15800001,-201.9446,0.0063331872,-12.679383,0.3652741,-66.616516,59.33392,212.33806,3.9213359,216.82378
0.15899999,-199.12439,0.0067037693,-21.338346,0.37586227,-77.479904,67.433601,213.19649,3.9711301,214.77412
0.16,-196.05476,0.0070848539,-29.972132,0.38627657,-88.182007,75.475159,213.48424,4.0212388,212.45351
0.161,-192.7439,0.0074762609,-38.573513,0.3965061,-98.691711,83.451851,213.18954,4.071661,209.86935
0.162,-189.19984,0.0078778015,-47.135689,0.40654084,-108.97784,91.357407,212.30193,4.1223979,207.02896
0.163,-185.43048,0.0082892748,-55.652256,0.41637167,-119.00918,99.185944,210.81215,4.1734486,203.93948
0.164,-181.44345,0.0087104738,-64.117157,0.42599031,-128.75458,106.93195,208.7123,4.2248139,200.60789
0.16500001,-177.24614,0.0091411825,-72.524658,0.43538934,-138.18297,114.59023,205.99583,4.2764931,197.04088
0.16599999,-172.84563,0.0095811766,-80.86927,0.44456202,-147.26346,122.15588,202.65758,4.3284864,193.24487
0.167,-168.24863,0.010030229,-89.145744,0.45350248,-155.96539,129.62421,198.69383,4.380794,189.226
0.168,-163.46155,0.010488102,-97.349014,0.4622055,-164.25839,136.99074,194.10233,4.4334154,184.99001
0.169,-158.49043,0.010954559,-105.47412,0.4706665,-172.11247,144.25114,188.8824,4.4863515,180.54234
0.17,-153.3409,0.011429353,-113.51624,0.47888157,-179.498,151.40117,183.03493,4.5396013,175.88808
0.171,-148.01825,0.011912238,-121.47054,0.48684737,-186.38593,158.43666,176.56242,4.5931654,171.03191
0.17200001,-142.52733,0.012402963,-129.33224,0.49456105,-192.74771,165.35347,169.46907,4.6470437,165.9781
0.17299999,-136.87267,0.012901275,-137.09653,0.5020203,-198.5555,172.14743,161.76083,4.7012362,160.73065
0.17399999,-131.05836,0.013406918,-144.75847,0.50922322,-203.78212,178.81435,153.44542,4.755743,155.29309
0.175,-125.0882,0.013919636,-152.31306,0.5161683,-208.40131,185.3499,144.53239,4.8105636,149.66864
0.176,-118.96556,0.014439168,-159.75516,0.52285439,-212.38762,191.74968,135.03322,4.8656988,143.86014
0.177,-112.69351,0.014965258,-167.07944,0.52928078,-215.71669,198.00911,124.96129,4.9211478,137.87012
0.178,-106.2748,0.015497643,-174.28032,0.53544688,-218.3652,204.12343,114.33199,4.9769111,131.70076
0.17900001,-99.711884,0.016036063,-181.35205,0.54135239,-220.31113,210.08768,103.16281,5.0329885,125.35399
0.18000001,-93.00692,0.016580261,-188.28857,0.54699737,-221.53368,215.89662,91.473251,5.0893803,118.83143
0.18099999,-86.161873,0.017129971,-195.08353,0.55238181,-222.01358,221.54483,79.285011,5.1460857,112.13448
0.182,-79.178452,0.017684937,-201.73027,0.5575062,-221.73309,227.02654,66.621948,5.2031059,105.26432
0.183,-72.058189,0.018244898,-208.22179,0.56237084,-220.67618,232.33568,53.510136,5.2604399,98.221947
0.184,-64.80249,0.018809592,-214.55069,0.56697643,-218.82857,237.46587,39.977901,5.3180881,91.008202
0.185,-57.412617,0.019378765,-220.70927,0.57132357,-216.17802,242.41039,26.055834,5.3760505,83.623825
0.186,-49.889767,0.019952154,-226.68935,0.57541323,-212.71429,247.16217,11.776804,5.4343271,76.069466
0.18700001,-42.235092,0.020529505,-232.48239,0.57924616,-208.42941,251.71376,-2.8240218,5.4929175,68.345757
0.18799999,-34.449749,0.021110561,-238.07939,0.58282351,-203.31772,256.05734,-17.709187,5.5518227,60.453312
0.189,-26.534924,0.021695066,-243.47093,0.58614635,-197.37605,260.18466,-32.838959,5.6110415,52.392799
0.19,-18.491898,0.022282768,-248.64716,0.58921593,-190.6039,264.08719,-48.171341,5.6705747,44.164993
0.191,-10.322065,0.022873415,-253.59773,0.59203362,-183.00345,267.75583,-63.662132,5.730422,35.770775
0.192,-2.027014,0.023466753,-258.31189,0.59460098,-174.57983,271.18121,-79.264938,5.7905836,27.211245
0.193,6.3914661,0.024062533,-262.77832,0.59691954,-165.34116,274.35349,-94.931259,5.8510594,18.487717
0.19400001,14.931295,0.024660509,-266.98538,0.59899127,-155.29869,277.26242,-110.61054,5.911849,9.6018124
0.19499999,23.590078,0.025260435,-270.92087,0.60081822,-144.46693,279.8974,-126.25029,5.9729528,0.55549127
0.19599999,32.365032,0.025862064,-274.57217,0.60240269,-132.8638,282.24738,-141.79616,6.0343714,-8.6488762
0.197,41.252937,0.026465161,-277.92624,0.60374731,-120.51063,284.30093,-157.19206,6.0961037,-18.008459
0.198,50.250092,0.027069481,-280.96951,0.60485488,-107.43235,286.04636,-172.38033,6.1581497,-27.519897
0.199,59.35223,0.027674792,-283.68814,0.60572875,-93.657516,287.47144,-187.30185,6.2205105,-37.179245
0.2,68.554466,0.028280862,-286.06778,0.60637259,-79.21843,288.56378,-201.89624,6.2831855,-46.981899
0.20100001,77.851257,0.028887462,-288.09375,0.60679042,-64.151123,289.31061,-216.10202,6.3461742,-56.922527
0.20200001,87.236282,0.029494369,-289.75107,0.60698688,-48.495491,289.69888,-229.85686,6.4094772,-66.994995
0.20299999,96.702423,0.030101364,-291.02441,0.60696715,-32.295258,289.71539,-243.09775,6.4730945,-77.192291
0.204,106.24167,0.030708233,-291.89828,0.60673696,-15.598007,289.34671,-255.76128,6.5370259,-87.506477
0.205,115.84508,0.031314768,-292.35693,0.60630274,1.544829,288.57922,-267.78391,6.6012716,-97.928574
0.206,125.50266,0.031920772,-292.38446,0.60567153,19.077997,287.39935,-279.10223,6.6658311,-108.44852
0.207,135.20335,0.03252605,-291.965,0.60485119,36.942474,285.79349,-289.65326,6.7307053,-119.05505
0.208,144.93495,0.033130415,-291.08264,0.60385042,55.07555,283.74805,-299.37476,6.7958932,-129.73569
0.20900001,154.68398,0.033733692,-289.72156,0.60267872,73.410904,281.24966,-308.2056,6.8613954,-140.47662
0.20999999,164.43571,0.034335718,-287.86624,0.60134655,91.878754,278.28522,-316.08606,6.9272118,-151.26265
0.211,174.17407,0.034936339,-285.50137,0.59986526,110.40601,274.84195,-322.95831,6.9933424,-162.07709
0.212,183.88158,0.035535403,-282.61221,0.59824723,128.91641,270.90762,-328.7666,7.0597868,-172.90175
0.213,193.53931,0.03613279,-279.18448,0.59650582,147.33081,266.47052,-333.45786,7.1265459,-183.71687
0.214,203.12683,0.036728378,-275.20468,0.59465563,165.5674,261.51974,-336.98203,7.1936188,-194.50107
0.215,212.62224,0.03732207,-270.66019,0.59271204,183.54192,256.04526,-339.29245,7.2610059,-205.23128
0.21600001,222.00206,0.037913777,-265.53943,0.5906918,201.16805,250.03809,-340.34637,7.3287072,-215.88277
0.21699999,231.24127,0.038503435,-259.83203,0.58861262,218.35777,243.49046,-340.10535,7.3967228,-226.42911
0.21799999,240.31337,0.039090991,-253.52899,0.58649337,235.02167,236.39601,-338.53568,7.4650526,-236.84215
0.219,249.19028,0.039676413,-246.62297,0.58435398,251.0694,228.74988,-335.60889,7.5336962,-247.09207
0.22,257.8425,0.0402597,-239.10838,0.58221549,266.41016,220.54903,-331.30215,7.6026545,-257.14746
0.221,266.23917,0.040840853,-230.98164,0.58009988,280.95319,211.7923,-325.59875,7.6719265,-266.97528
0.222,274.34805,0.041419912,-222.24138,0.57803029,294.60822,202.48071,-318.48853,7.7415128,-276.54099
0.223,282.13574,0.041996937,-212.88864,0.57603061,307.2861,192.61757,-309.96826,7.8114133,-285.80869
0.22400001,289.56775,0.042572007,-202.92703,0.57412559,318.89944,182.20871,-300.04199,7.8816276,-294.74124
0.22499999,296.60867,0.043145228,-192.36305,0.57234079,329.3631,171.26262,-288.72165,7.9521565,-303.30035
0.226,303.22241,0.043716736,-181.20613,0.57070237,338.595,159.79065,-276.0271,8.0229998,-311.44693
0.227,309.37234,0.044286691,-169.46889,0.56923705,346.51663,147.80719,-261.98663,8.0941563,-319.14105
