"time","I.re","I.im"
0.83420000000000005,9.9998079992809628e-06,2.5600876372506653e-10
0.83440000000000003,9.9998080028582354e-06,2.5601963307699692e-10
0.83460000000000001,9.9998080061236846e-06,2.5603075715886628e-10
0.83479999999999999,9.9998080091388119e-06,2.5604189536513566e-10
0.83500000000000008,9.9998080122983972e-06,2.560525436068187e-10
0.83520000000000005,9.9998080156809809e-06,2.5606377691533982e-10
0.83540000000000003,9.9998080187441655e-06,2.560748430899344e-10
0.83560000000000001,9.9998080221840696e-06,2.5608621427255502e-10
0.83579999999999999,9.999808025322508e-06,2.5609697360837723e-10
0.83600000000000008,9.9998080282358066e-06,2.5610810094859136e-10
0.83620000000000005,9.9998080317706852e-06,2.5611913289880192e-10
0.83640000000000003,9.9998080351511496e-06,2.5613013582152911e-10
0.83660000000000001,9.9998080383895785e-06,2.5614115425238856e-10
0.83679999999999999,9.9998080415355639e-06,2.5615216301707521e-10
0.83700000000000008,9.999808044638454e-06,2.5616321849426819e-10
0.83720000000000006,9.9998080480994391e-06,2.5617440618733467e-10
0.83740000000000003,9.9998080512488617e-06,2.5618557943153799e-10
0.83760000000000001,9.9998080543314653e-06,2.5619620702478031e-10
0.83779999999999999,9.9998080573924544e-06,2.562074470908702e-10
0.83800000000000008,9.9998080609706925e-06,2.5621845641290122e-10
0.83820000000000006,9.9998080640210022e-06,2.5622957567498468e-10
0.83840000000000003,9.9998080674908184e-06,2.5624052572620254e-10
0.83860000000000001,9.9998080703092935e-06,2.5625160337710693e-10
0.83879999999999999,9.9998080738366148e-06,2.5626263458579009e-10
0.83900000000000008,9.9998080771439464e-06,2.5627346896340356e-10
0.83920000000000006,9.999808080258102e-06,2.5628455157006684e-10
0.83940000000000003,9.9998080836183715e-06,2.5629570969887705e-10
0.83960000000000001,9.9998080868912644e-06,2.5630682745670516e-10
0.83979999999999999,9.99980809003736e-06,2.5631780634319495e-10
0.84000000000000008,9.9998080930319145e-06,2.5632887124392683e-10
0.84020000000000006,9.9998080962699046e-06,2.563397231273461e-10
0.84040000000000004,9.999808099700388e-06,2.5635067094628959e-10
0.84060000000000001,9.9998081030153904e-06,2.563620315260505e-10
0.84079999999999999,9.999808105830313e-06,2.5637281000194948e-10
0.84100000000000008,9.9998081091944094e-06,2.5638391469681852e-10
0.84120000000000006,9.9998081126439205e-06,2.5639495964034109e-10
0.84140000000000004,9.99980811590341e-06,2.5640595056199178e-10
0.84160000000000001,9.9998081191504804e-06,2.5641683088065719e-10
0.84179999999999999,9.9998081222349593e-06,2.5642811190010415e-10
0.84200000000000008,9.9998081254926192e-06,2.5643889156118265e-10
0.84220000000000006,9.9998081289579123e-06,2.5644981381226209e-10
0.84240000000000004,9.999808132135614e-06,2.5646090426553781e-10
0.84260000000000002,9.9998081352704863e-06,2.5647191365095486e-10
0.84279999999999999,9.9998081385331929e-06,2.5648309060585731e-10
0.84300000000000008,9.9998081419108604e-06,2.5649392330564193e-10
0.84320000000000006,9.9998081449473753e-06,2.5650515445908695e-10
0.84340000000000004,9.9998081478269248e-06,2.5651585679333553e-10
0.84360000000000002,9.999808151813216e-06,2.5652677343572965e-10
0.84379999999999999,9.9998081545663221e-06,2.5653788066927131e-10
0.84400000000000008,9.9998081580584932e-06,2.5654905176758779e-10
0.84420000000000006,9.9998081613107626e-06,2.5655998239536358e-10
0.84440000000000004,9.999808164687861e-06,2.5657077968975209e-10
