"time","bodyOfConstraint.body.w_a[1]","bodyOfConstraint.body.w_a[2]","bodyOfConstraint.body.w_a[3]","bodyOfJoint.body.w_a[2]","joint.phi"
8.1699999999999999,2.8844440295753455e-16,-0.7575873176821345,3.7587515650598575e-16,-0.75758731768212972,-2.4721228032686042
8.1720000000000006,2.0434179427449331e-16,-0.7494381826245321,2.7458975922478465e-16,-0.74943818262452744,-2.4736298304919515
8.1739999999999995,1.3513666691168866e-16,-0.74128433508627967,4.2903854618734865e-16,-0.74128433508627478,-2.4751205546398625
8.1760000000000002,2.0188115750567396e-16,-0.73312584402660097,3.4532260769170304e-16,-0.7331258440265962,-2.4765949663296976
8.1780000000000008,2.3796305359629791e-16,-0.72496277781473895,3.8072988854910321e-16,-0.72496277781473417,-2.478053056312997
8.1799999999999997,2.3398517747098344e-16,-0.71679520423263954,3.3763042337590909e-16,-0.71679520423263476,-2.4794948154741054
8.1820000000000004,2.1235499917849601e-16,-0.70862319047763966,3.337811782252133e-16,-0.70862319047763467,-2.480920234828802
8.1840000000000011,2.3549848974323993e-16,-0.70044680595696063,3.6918218578974257e-16,-0.70044680595695563,-2.4823293057893445
8.1859999999999999,1.7750224986855752e-16,-0.69226612924827158,1.9322583429954079e-16,-0.69226612924826658,-2.4837220208271131
8.1880000000000006,1.897847041328632e-16,-0.68408121504923991,2.8296891559571905e-16,-0.68408121504923491,-2.4850983703168388
8.1899999999999995,0,-0.67589212881930816,3.1836394030287544e-16,-0.67589212881930327,-2.4864583458409668
8.1920000000000002,2.564942755721741e-16,-0.66769893548534964,3.9300934191720827e-16,-0.66769893548534476,-2.487801939110172
8.1940000000000008,2.3933698845179161e-16,-0.65950169944554149,3.1064359343657333e-16,-0.65950169944553649,-2.4891291419620734
8.1959999999999997,1.9008012402850784e-16,-0.65130048457316414,3.0678059374962393e-16,-0.65130048457315926,-2.4904399463599773
8.1980000000000004,2.5072918056323553e-16,-0.64309535422040454,3.4216806122990268e-16,-0.64309535422039965,-2.4917343443916025
8.1999999999999993,1.7474377152761252e-16,-0.63488637122222835,2.9904909107313848e-16,-0.63488637122222347,-2.4930123282678083
8.202,1.1986334126757415e-16,-0.62667359790014376,2.2609494645207534e-16,-0.62667359790013888,-2.4942738903213293
8.2040000000000006,1.4865873985802507e-16,-0.61845709606607657,2.5205813529874975e-16,-0.61845709606607169,-2.4955190230054995
8.2059999999999995,1.2794535891911525e-16,-0.61023692702617027,2.4818620767315101e-16,-0.6102369270261655,-2.4967477188929834
8.2080000000000002,1.7316342215900066e-16,-0.60201315158458746,2.4431258133232942e-16,-0.60201315158458246,-2.4979599706745153
8.2100000000000009,1.4873086777108258e-16,-0.59378583004737395,2.7968959614920018e-16,-0.59378583004736907,-2.4991557711576133
8.2119999999999997,1.805981687115984e-16,-0.5855550222262631,2.3656034589546533e-16,-0.58555502222625821,-2.5003351132653222
8.2140000000000004,1.387707915406818e-16,-0.57732078744247417,3.111864158485365e-16,-0.57732078744246917,-2.501497990034939
8.2159999999999993,1.9229626863835636e-16,-0.56908318453058659,2.626306155658996e-16,-0.56908318453058171,-2.5026443946167407
8.218,1.3480984852719602e-16,-0.56084228563260274,2.1059075941159696e-16,-0.56084228563259786,-2.5037743224076929
8.2200000000000006,1.442222014787673e-16,-0.5525981385735057,2.210367395499914e-16,-0.55259813857350082,-2.504887765224669
8.2219999999999995,1.9229626863835641e-16,-0.54435080105860323,2.5640432628617528e-16,-0.54435080105859834,-2.505984716596926
