"Time","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.058200002,-0.04290472,-0.14605682
0.0583,-0.043178596,-0.14646524
0.058400001,-0.04345369,-0.14687371
0.058499999,-0.043730002,-0.14728223
0.058600001,-0.044007543,-0.1476908
0.058699999,-0.044286307,-0.14809941
0.058800001,-0.044566303,-0.14850804
0.058899999,-0.044847529,-0.14891671
0.059,-0.045129988,-0.1493254
0.059099998,-0.045413688,-0.14973412
0.0592,-0.045698624,-0.15014285
0.059300002,-0.045984801,-0.1505516
0.0594,-0.046272222,-0.15096034
0.059500001,-0.046560891,-0.15136909
0.059599999,-0.046850812,-0.15177785
0.059700001,-0.04714198,-0.1521866
0.059799999,-0.047434408,-0.15259534
0.059900001,-0.047728088,-0.15300405
0.059999999,-0.04802303,-0.15341274
0.0601,-0.048319235,-0.15382142
0.060199998,-0.048616704,-0.15423007
0.0603,-0.048915438,-0.15463868
0.060400002,-0.049215443,-0.15504724
0.0605,-0.049516719,-0.15545577
0.060600001,-0.049819272,-0.15586424
0.060699999,-0.050123099,-0.15627266
0.060800001,-0.050428204,-0.15668102
0.060899999,-0.050734594,-0.15708932
0.061000001,-0.051042266,-0.15749754
0.061099999,-0.051351223,-0.1579057
0.0612,-0.051661473,-0.15831378
0.061299998,-0.051973011,-0.15872177
0.0614,-0.052285843,-0.15912968
0.061500002,-0.052599974,-0.15953748
0.0616,-0.052915398,-0.15994519
0.061700001,-0.053232126,-0.16035281
0.061799999,-0.053550158,-0.1607603
0.061900001,-0.053869493,-0.1611677
0.061999999,-0.054190136,-0.16157496
0.062100001,-0.054512091,-0.1619821
0.062199999,-0.054835357,-0.16238911
0.0623,-0.055159934,-0.16279599
0.062399998,-0.05548583,-0.16320273
0.0625,-0.055813044,-0.16360934
0.062600002,-0.056141581,-0.16401578
0.062700003,-0.056471441,-0.16442208
0.062799998,-0.056802627,-0.16482821
0.062899999,-0.057135139,-0.16523418
0.063000001,-0.057468984,-0.16563998
0.063100003,-0.05780416,-0.16604559
0.063199997,-0.058140669,-0.16645104
0.063299999,-0.058478516,-0.16685629
0.0634,-0.0588177,-0.16726135
0.063500002,-0.059158228,-0.16766621
0.063600004,-0.059500098,-0.16807088
0.063699998,-0.059843313,-0.16847533
0.0638,-0.060187872,-0.16887957
0.063900001,-0.060533784,-0.1692836
0.064000003,-0.060881048,-0.16968739
0.064099997,-0.061229665,-0.17009096
0.064199999,-0.061579637,-0.17049429
0.064300001,-0.061930969,-0.17089738
0.064400002,-0.062283661,-0.17130023
0.064499997,-0.062637709,-0.17170282
0.064599998,-0.062993132,-0.17210516
0.0647,-0.06334991,-0.17250723
0.064800002,-0.063708059,-0.17290904
0.064900003,-0.06406758,-0.17331056
0.064999998,-0.064428478,-0.17371181
