"time","revolute.phi","revolute.w","rotor1D.phi","rotor1D.w"
0.85338000000000003,0.077995323157128399,0.03144063910799013,0.077995323157128399,0.03144063910799013
0.85360000000000003,0.078002229793913094,0.031353087587111056,0.078002229793913094,0.031353087587111056
0.85382000000000002,0.078009117178340304,0.031265628208725089,0.078009117178340304,0.031265628208725089
0.85404000000000002,0.078015985330740681,0.031178261139843053,0.078015985330740681,0.031178261139843053
0.85426000000000002,0.078022834271483057,0.031090986547295439,0.078022834271483057,0.031090986547295439
0.85448000000000002,0.078029664020974346,0.031003804597732103,0.078029664020974346,0.031003804597732103
0.85470000000000002,0.07803647459965958,0.030916715457621837,0.07803647459965958,0.030916715457621837
0.85492000000000001,0.078043266028021779,0.030829719293251987,0.078043266028021779,0.030829719293251987
0.85514000000000001,0.078050038326582041,0.03074281627072813,0.078050038326582041,0.03074281627072813
0.85536000000000001,0.078056791515899504,0.030656006555973662,0.078056791515899504,0.030656006555973662
0.85558000000000001,0.078063525616571275,0.030569290314729432,0.078063525616571275,0.030569290314729432
0.85580000000000001,0.078070240649232361,0.030482667712553375,0.078070240649232361,0.030482667712553375
0.85602,0.07807693663455581,0.030396138914820143,0.07807693663455581,0.030396138914820143
0.85624,0.078083613593252554,0.030309704086720717,0.078083613593252554,0.030309704086720717
0.85646,0.078090271546071455,0.030223363393262037,0.078090271546071455,0.030223363393262037
0.85668,0.078096910513799161,0.03013711699926664,0.078096910513799161,0.03013711699926664
0.8569,0.078103530517260294,0.030050965069372292,0.078103530517260294,0.030050965069372292
0.85711999999999999,0.078110131577317249,0.029964907768031582,0.078110131577317249,0.029964907768031582
0.85733999999999999,0.078116713714870264,0.029878945259511583,0.078116713714870264,0.029878945259511583
0.85755999999999999,0.078123276950857246,0.02979307770789346,0.078123276950857246,0.02979307770789346
0.85777999999999999,0.078129821306254094,0.029707305277072112,0.078129821306254094,0.029707305277072112
0.85799999999999998,0.078136346802074194,0.029621628130755761,0.078136346802074194,0.029621628130755761
0.85821999999999998,0.078142853459368888,0.029536046432465657,0.078142853459368888,0.029536046432465657
0.85843999999999998,0.078149341299227057,0.029450560345535608,0.078149341299227057,0.029450560345535608
0.85865999999999998,0.0781558103427753,0.029365170033111669,0.0781558103427753,0.029365170033111669
0.85887999999999998,0.078162260611177925,0.029279875658151766,0.078162260611177925,0.029279875658151766
0.85910000000000009,0.078168692125636804,0.029194677383425259,0.078168692125636804,0.029194677383425259
0.85932000000000008,0.078175104907391435,0.029109575371512729,0.078175104907391435,0.029109575371512729
0.85954000000000008,0.078181498977718922,0.029024569784805408,0.078181498977718922,0.029024569784805408
0.85976000000000008,0.078187874357933909,0.028939660785504907,0.078187874357933909,0.028939660785504907
0.85998000000000008,0.078194231069388595,0.028854848535622819,0.078194231069388595,0.028854848535622819
0.86020000000000008,0.078200569133472744,0.028770133196980397,0.078200569133472744,0.028770133196980397
0.86042000000000007,0.078206888571613481,0.028685514931208109,0.078206888571613481,0.028685514931208109
0.86064000000000007,0.078213189405275579,0.028600993899745294,0.078213189405275579,0.028600993899745294
0.86086000000000007,0.078219471655961145,0.028516570263839813,0.078219471655961145,0.028516570263839813
0.86108000000000007,0.078225735345209796,0.028432244184547636,0.078225735345209796,0.028432244184547636
0.86130000000000007,0.078231980494598452,0.028348015822732487,0.078231980494598452,0.028348015822732487
0.86152000000000006,0.078238207125741518,0.028263885339065476,0.078238207125741518,0.028263885339065476
0.86174000000000006,0.078244415260290717,0.028179852894024721,0.078244415260290717,0.028179852894024721
0.86196000000000006,0.078250604919935102,0.028095918647894964,0.078250604919935102,0.028095918647894964
0.86218000000000006,0.078256776126401084,0.028012082760767221,0.078256776126401084,0.028012082760767221
0.86240000000000006,0.078262928901452353,0.027928345392538384,0.078262928901452353,0.027928345392538384
0.86262000000000005,0.078269063266889843,0.027844706702910862,0.078269063266889843,0.027844706702910862
0.86284000000000005,0.078275179244551754,0.027761166851392207,0.078275179244551754,0.027761166851392207
0.86306000000000005,0.078281276856313572,0.02767772599729473,0.078281276856313572,0.02767772599729473
0.86328000000000005,0.078287356124087895,0.027594384299735149,0.078287356124087895,0.027594384299735149
0.86350000000000005,0.078293417069824581,0.027511141917634201,0.078293417069824581,0.027511141917634201
0.86372000000000004,0.078299459715510597,0.027427999009716268,0.078299459715510597,0.027427999009716268
0.86394000000000004,0.078305484083170063,0.027344955734509006,0.078305484083170063,0.027344955734509006
0.86416000000000004,0.078311490194864219,0.027262012250342964,0.078311490194864219,0.027262012250342964
0.86438000000000004,0.07831747807269146,0.02717916871535124,0.07831747807269146,0.02717916871535124
0.86460000000000004,0.078323447738787091,0.027096425287469066,0.078323447738787091,0.027096425287469066
0.86482000000000003,0.078329399215323656,0.027013782124433471,0.078329399215323656,0.027013782124433471
0.86504000000000003,0.078335332524510637,0.02693123938378289,0.078335332524510637,0.02693123938378289
0.86526000000000003,0.078341247688594462,0.026848797222856782,0.078341247688594462,0.026848797222856782
0.86548000000000003,0.078347144729858667,0.026766455798795281,0.078347144729858667,0.026766455798795281
0.86570000000000003,0.078353023670623634,0.02668421526853881,0.078353023670623634,0.02668421526853881
0.86592000000000002,0.078358884533246756,0.026602075788827697,0.078358884533246756,0.026602075788827697
0.86614000000000002,0.078364727340122314,0.026520037516201828,0.078364727340122314,0.026520037516201828
